y,m,d,Hijri_Date,Hijri_Month_Name,greg_dt,Day_EN,Weekday_AR
1446,1,1,01-01-1446,محرم,2024-07-07,Sunday,الأحد
1446,1,2,02-01-1446,محرم,2024-07-08,Monday,الاثنين
1446,1,3,03-01-1446,محرم,2024-07-09,Tuesday,الثلاثاء
1446,1,4,04-01-1446,محرم,2024-07-10,Wednesday,الأربعاء
1446,1,5,05-01-1446,محرم,2024-07-11,Thursday,الخميس
1446,1,6,06-01-1446,محرم,2024-07-12,Friday,الجمعة
1446,1,7,07-01-1446,محرم,2024-07-13,Saturday,السبت
1446,1,8,08-01-1446,محرم,2024-07-14,Sunday,الأحد
1446,1,9,09-01-1446,محرم,2024-07-15,Monday,الاثنين
1446,1,10,10-01-1446,محرم,2024-07-16,Tuesday,الثلاثاء
1446,1,11,11-01-1446,محرم,2024-07-17,Wednesday,الأربعاء
1446,1,12,12-01-1446,محرم,2024-07-18,Thursday,الخميس
1446,1,13,13-01-1446,محرم,2024-07-19,Friday,الجمعة
1446,1,14,14-01-1446,محرم,2024-07-20,Saturday,السبت
1446,1,15,15-01-1446,محرم,2024-07-21,Sunday,الأحد
1446,1,16,16-01-1446,محرم,2024-07-22,Monday,الاثنين
1446,1,17,17-01-1446,محرم,2024-07-23,Tuesday,الثلاثاء
1446,1,18,18-01-1446,محرم,2024-07-24,Wednesday,الأربعاء
1446,1,19,19-01-1446,محرم,2024-07-25,Thursday,الخميس
1446,1,20,20-01-1446,محرم,2024-07-26,Friday,الجمعة
1446,1,21,21-01-1446,محرم,2024-07-27,Saturday,السبت
1446,1,22,22-01-1446,محرم,2024-07-28,Sunday,الأحد
1446,1,23,23-01-1446,محرم,2024-07-29,Monday,الاثنين
1446,1,24,24-01-1446,محرم,2024-07-30,Tuesday,الثلاثاء
1446,1,25,25-01-1446,محرم,2024-07-31,Wednesday,الأربعاء
1446,1,26,26-01-1446,محرم,2024-08-01,Thursday,الخميس
1446,1,27,27-01-1446,محرم,2024-08-02,Friday,الجمعة
1446,1,28,28-01-1446,محرم,2024-08-03,Saturday,السبت
1446,1,29,29-01-1446,محرم,2024-08-04,Sunday,الأحد
1446,2,1,01-02-1446,صفر,2024-08-05,Monday,الاثنين
1446,2,2,02-02-1446,صفر,2024-08-06,Tuesday,الثلاثاء
1446,2,3,03-02-1446,صفر,2024-08-07,Wednesday,الأربعاء
1446,2,4,04-02-1446,صفر,2024-08-08,Thursday,الخميس
1446,2,5,05-02-1446,صفر,2024-08-09,Friday,الجمعة
1446,2,6,06-02-1446,صفر,2024-08-10,Saturday,السبت
1446,2,7,07-02-1446,صفر,2024-08-11,Sunday,الأحد
1446,2,8,08-02-1446,صفر,2024-08-12,Monday,الاثنين
1446,2,9,09-02-1446,صفر,2024-08-13,Tuesday,الثلاثاء
1446,2,10,10-02-1446,صفر,2024-08-14,Wednesday,الأربعاء
1446,2,11,11-02-1446,صفر,2024-08-15,Thursday,الخميس
1446,2,12,12-02-1446,صفر,2024-08-16,Friday,الجمعة
1446,2,13,13-02-1446,صفر,2024-08-17,Saturday,السبت
1446,2,14,14-02-1446,صفر,2024-08-18,Sunday,الأحد
1446,2,15,15-02-1446,صفر,2024-08-19,Monday,الاثنين
1446,2,16,16-02-1446,صفر,2024-08-20,Tuesday,الثلاثاء
1446,2,17,17-02-1446,صفر,2024-08-21,Wednesday,الأربعاء
1446,2,18,18-02-1446,صفر,2024-08-22,Thursday,الخميس
1446,2,19,19-02-1446,صفر,2024-08-23,Friday,الجمعة
1446,2,20,20-02-1446,صفر,2024-08-24,Saturday,السبت
1446,2,21,21-02-1446,صفر,2024-08-25,Sunday,الأحد
1446,2,22,22-02-1446,صفر,2024-08-26,Monday,الاثنين
1446,2,23,23-02-1446,صفر,2024-08-27,Tuesday,الثلاثاء
1446,2,24,24-02-1446,صفر,2024-08-28,Wednesday,الأربعاء
1446,2,25,25-02-1446,صفر,2024-08-29,Thursday,الخميس
1446,2,26,26-02-1446,صفر,2024-08-30,Friday,الجمعة
1446,2,27,27-02-1446,صفر,2024-08-31,Saturday,السبت
1446,2,28,28-02-1446,صفر,2024-09-01,Sunday,الأحد
1446,2,29,29-02-1446,صفر,2024-09-02,Monday,الاثنين
1446,2,30,30-02-1446,صفر,2024-09-03,Tuesday,الثلاثاء
1446,3,1,01-03-1446,ربيع الأول,2024-09-04,Wednesday,الأربعاء
1446,3,2,02-03-1446,ربيع الأول,2024-09-05,Thursday,الخميس
1446,3,3,03-03-1446,ربيع الأول,2024-09-06,Friday,الجمعة
1446,3,4,04-03-1446,ربيع الأول,2024-09-07,Saturday,السبت
1446,3,5,05-03-1446,ربيع الأول,2024-09-08,Sunday,الأحد
1446,3,6,06-03-1446,ربيع الأول,2024-09-09,Monday,الاثنين
1446,3,7,07-03-1446,ربيع الأول,2024-09-10,Tuesday,الثلاثاء
1446,3,8,08-03-1446,ربيع الأول,2024-09-11,Wednesday,الأربعاء
1446,3,9,09-03-1446,ربيع الأول,2024-09-12,Thursday,الخميس
1446,3,10,10-03-1446,ربيع الأول,2024-09-13,Friday,الجمعة
1446,3,11,11-03-1446,ربيع الأول,2024-09-14,Saturday,السبت
1446,3,12,12-03-1446,ربيع الأول,2024-09-15,Sunday,الأحد
1446,3,13,13-03-1446,ربيع الأول,2024-09-16,Monday,الاثنين
1446,3,14,14-03-1446,ربيع الأول,2024-09-17,Tuesday,الثلاثاء
1446,3,15,15-03-1446,ربيع الأول,2024-09-18,Wednesday,الأربعاء
1446,3,16,16-03-1446,ربيع الأول,2024-09-19,Thursday,الخميس
1446,3,17,17-03-1446,ربيع الأول,2024-09-20,Friday,الجمعة
1446,3,18,18-03-1446,ربيع الأول,2024-09-21,Saturday,السبت
1446,3,19,19-03-1446,ربيع الأول,2024-09-22,Sunday,الأحد
1446,3,20,20-03-1446,ربيع الأول,2024-09-23,Monday,الاثنين
1446,3,21,21-03-1446,ربيع الأول,2024-09-24,Tuesday,الثلاثاء
1446,3,22,22-03-1446,ربيع الأول,2024-09-25,Wednesday,الأربعاء
1446,3,23,23-03-1446,ربيع الأول,2024-09-26,Thursday,الخميس
1446,3,24,24-03-1446,ربيع الأول,2024-09-27,Friday,الجمعة
1446,3,25,25-03-1446,ربيع الأول,2024-09-28,Saturday,السبت
1446,3,26,26-03-1446,ربيع الأول,2024-09-29,Sunday,الأحد
1446,3,27,27-03-1446,ربيع الأول,2024-09-30,Monday,الاثنين
1446,3,28,28-03-1446,ربيع الأول,2024-10-01,Tuesday,الثلاثاء
1446,3,29,29-03-1446,ربيع الأول,2024-10-02,Wednesday,الأربعاء
1446,3,30,30-03-1446,ربيع الأول,2024-10-03,Thursday,الخميس
1446,4,1,01-04-1446,ربيع الآخر,2024-10-04,Friday,الجمعة
1446,4,2,02-04-1446,ربيع الآخر,2024-10-05,Saturday,السبت
1446,4,3,03-04-1446,ربيع الآخر,2024-10-06,Sunday,الأحد
1446,4,4,04-04-1446,ربيع الآخر,2024-10-07,Monday,الاثنين
1446,4,5,05-04-1446,ربيع الآخر,2024-10-08,Tuesday,الثلاثاء
1446,4,6,06-04-1446,ربيع الآخر,2024-10-09,Wednesday,الأربعاء
1446,4,7,07-04-1446,ربيع الآخر,2024-10-10,Thursday,الخميس
1446,4,8,08-04-1446,ربيع الآخر,2024-10-11,Friday,الجمعة
1446,4,9,09-04-1446,ربيع الآخر,2024-10-12,Saturday,السبت
1446,4,10,10-04-1446,ربيع الآخر,2024-10-13,Sunday,الأحد
1446,4,11,11-04-1446,ربيع الآخر,2024-10-14,Monday,الاثنين
1446,4,12,12-04-1446,ربيع الآخر,2024-10-15,Tuesday,الثلاثاء
